Width,Height,Label
0.502454991816694,0.47257383966244726,bicycle
0.5908346972176759,0.31856540084388185,car
0.41407528641571195,0.5021097046413502,clock
0.41407528641571195,0.2742616033755274,fish
0.5973813420621932,0.740506329113924,guitar
0.530278232405892,0.6540084388185654,house
0.5270049099836334,0.609704641350211,pencil
0.5810147299509002,0.7573839662447257,tree
0.37152209492635024,0.45569620253164556,bicycle
0.4713584288052373,0.3438818565400844,car
0.2602291325695581,0.33544303797468356,clock
0.4026186579378069,0.4430379746835443,fish
0.42225859247135844,0.5232067510548524,guitar
0.3878887070376432,0.47257383966244726,house
0.2160392798690671,0.5232067510548524,pencil
0.33060556464811786,0.569620253164557,tree
0.5384615384615384,0.3860759493670886,bicycle
0.41734860883797054,0.16455696202531644,car
0.4026186579378069,0.4936708860759494,clock
0.43044189852700493,0.40717299578059074,fish
0.425531914893617,0.4978902953586498,guitar
0.40916530278232405,0.5843881856540084,house
0.2520458265139116,0.6371308016877637,pencil
0.5122749590834698,0.740506329113924,tree
0.3322422258592471,0.3818565400843882,bicycle
0.32405891980360063,0.2616033755274262,car
0.2127659574468085,0.2805907172995781,clock
0.20294599018003273,0.12869198312236288,fish
0.1276595744680851,0.5548523206751055,guitar
0.3944353518821604,0.6371308016877637,house
0.07855973813420622,0.43037974683544306,pencil
0.3502454991816694,0.6687763713080169,tree
0.3404255319148936,0.2679324894514768,bicycle
0.23567921440261866,0.5,car
0.2765957446808511,0.37130801687763715,clock
0.35842880523731585,0.2552742616033755,fish
0.5400981996726678,0.2742616033755274,guitar
0.37970540098199673,0.3080168776371308,house
0.20458265139116202,0.41139240506329117,pencil
0.4795417348608838,0.6012658227848101,tree
0.513911620294599,0.31223628691983124,bicycle
0.5122749590834698,0.189873417721519,car
0.513911620294599,0.5379746835443038,clock
0.5761047463175123,0.2805907172995781,fish
0.5433715220949263,0.24050632911392406,guitar
0.37970540098199673,0.4282700421940928,house
0.044189852700491,0.5949367088607594,pencil
0.5204582651391162,0.689873417721519,tree
0.5400981996726678,0.4831223628691983,bicycle
0.5351882160392799,0.4219409282700422,car
0.3076923076923077,0.45358649789029537,clock
0.46808510638297873,0.31856540084388185,fish
0.5171849427168577,0.5928270042194093,guitar
0.4664484451718494,0.5168776371308017,house
0.4582651391162029,0.5485232067510548,pencil
0.42716857610474634,0.7763713080168776,tree
0.44353518821603927,0.29957805907172996,bicycle
0.4959083469721768,0.35864978902953587,car
0.32569558101472995,0.41139240506329117,clock
0.41734860883797054,0.3080168776371308,fish
0.4288052373158756,0.5611814345991561,guitar
0.3322422258592471,0.4641350210970464,house
0.4844517184942717,0.6624472573839663,pencil
0.45990180032733224,0.6075949367088608,tree
0.3993453355155483,0.3059071729957806,bicycle
0.42225859247135844,0.24050632911392406,car
0.33060556464811786,0.4282700421940928,clock
0.33387888707037644,0.16033755274261605,fish
0.3911620294599018,0.49156118143459915,guitar
0.3158756137479542,0.37341772151898733,house
0.2864157119476268,0.46835443037974683,pencil
0.37970540098199673,0.6139240506329114,tree
0.41898527004909986,0.3333333333333333,bicycle
0.4959083469721768,0.2974683544303797,car
0.1751227495908347,0.229957805907173,clock
0.40098199672667756,0.4092827004219409,fish
0.49263502454991814,0.5232067510548524,guitar
0.41734860883797054,0.5421940928270043,house
0.3060556464811784,0.6012658227848101,pencil
0.4582651391162029,0.7067510548523207,tree
0.3486088379705401,0.3438818565400844,bicycle
0.38461538461538464,0.23628691983122363,car
0.3060556464811784,0.3987341772151899,clock
0.41243862520458263,0.41139240506329117,fish
0.309328968903437,0.47257383966244726,guitar
0.397708674304419,0.4050632911392405,house
0.3453355155482815,0.49156118143459915,pencil
0.646481178396072,0.5907172995780591,tree
0.513911620294599,0.46624472573839665,bicycle
0.5008183306055647,0.3059071729957806,car
0.32242225859247137,0.4050632911392405,clock
0.381342062193126,0.24050632911392406,fish
0.265139116202946,0.6075949367088608,guitar
0.3011456628477905,0.45569620253164556,house
0.2700490998363339,0.31645569620253167,pencil
0.2765957446808511,0.6286919831223629,tree
0.33878887070376434,0.3059071729957806,bicycle
0.4402618657937807,0.2890295358649789,car
0.4402618657937807,0.5274261603375527,clock
0.3044189852700491,0.1350210970464135,fish
0.35515548281505727,0.5084388185654009,guitar
0.41898527004909986,0.8037974683544303,house
0.4026186579378069,0.3670886075949367,pencil
0.3878887070376432,0.729957805907173,tree
0.3567921440261866,0.2974683544303797,bicycle
0.5679214402618658,0.3670886075949367,car
0.37479541734860883,0.4430379746835443,clock
0.32733224222585927,0.25316455696202533,fish
0.2553191489361702,0.5316455696202531,guitar
0.2569558101472995,0.4831223628691983,house
0.42716857610474634,0.07172995780590717,pencil
0.32405891980360063,0.6814345991561181,tree
0.5008183306055647,0.34177215189873417,bicycle
0.5417348608837971,0.31223628691983124,car
